,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id,condition,road_name,bridge_length,road_id,road_id_sliced
0,N1,0.0,LRPS,23.7060278,90.443333,,Others,source,source,0.0,1000000,,Unknown,,N1LRPS,N1LRPS
1,N1,0.814,LRPSa,23.7029167,90.4504167,,Culvert,bridge,bridge,814.0,1000001,,Unknown,,N1LRPSa,N1LRPSa
2,N1,0.822,LRPSb,23.7027778,90.4504722,,CrossRoad,link,link,8.000000000000007,1000002,,Unknown,,N1LRPSb,N1LRPSb
3,N1,1.0,LRP001,23.7021389,90.4519722,,KmPost,link,link,178.00000000000006,1000003,,Unknown,,N1LRP001,N1LRP001
4,N1,2.0,LRP002,23.6978886,90.4605833,,KmPost,link,link,1000.0,1000004,,Unknown,,N1LRP002,N1LRP002
5,N1,2.13,LRP002a,23.6973608,90.4616667,,Culvert,bridge,bridge,129.9999999999999,1000005,,Unknown,,N1LRP002a,N1LRP002
6,N1,3.0,LRP003,23.693833,90.4691382,,KmPost,link,link,870.0000000000001,1000006,,Unknown,,N1LRP003,N1LRP003
7,N1,4.0,LRP004,23.6936108,90.4787771,,KmPost,link,link,1000.0,1000007,,Unknown,,N1LRP004,N1LRP004
8,N1,4.175,LRP004a,23.6938052,90.4805271,,"SideRoad,Right",link,link,174.99999999999983,1000008,,Unknown,,N1LRP004a,N1LRP004
9,N1,5.0,LRP005,23.6947497,90.4884997,,KmPost,link,link,825.0000000000002,1000009,,Unknown,,N1LRP005,N1LRP005
10,N1,6.0,LRP006,23.6959163,90.4981941,,KmPost,link,link,1000.0,1000010,,Unknown,,N1LRP006,N1LRP006
11,N1,7.0,LRP007,23.697333,90.50775,,KmPost,link,link,1000.0,1000011,,Unknown,,N1LRP007,N1LRP007
12,N1,7.181,LRP007a,23.6979163,90.5092778,,CrossRoad,link,link,181.00000000000006,1000012,,Unknown,,N1LRP007a,N1LRP007
13,N1,8.0,LRP008,23.7020556,90.5157222,,KmPost,link,link,819.0,1000013,,Unknown,,N1LRP008,N1LRP008
